DialogueID_Train,Dev,Test
0,0,0
0,0,0
0,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,2
0,1,2
0,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,2,2
1,2,2
1,2,2
2,2,2
2,2,3
2,2,3
2,3,3
2,3,3
2,3,3
2,4,3
2,4,3
2,4,4
2,4,4
2,4,4
2,4,4
2,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,5
3,4,5
3,4,5
3,4,5
3,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,6
4,5,6
4,5,6
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,6,7
4,6,7
4,6,7
5,6,7
5,6,8
5,6,8
5,6,8
6,6,8
6,6,8
6,6,8
6,7,8
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,7,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
7,8,10
7,8,10
8,8,10
8,8,10
8,8,11
8,8,11
8,8,11
8,9,11
8,9,11
9,9,12
9,9,12
9,9,12
9,9,12
9,9,12
9,9,12
9,10,12
9,10,12
9,10,12
9,10,12
9,10,12
9,10,12
9,10,12
9,10,12
10,10,12
10,10,12
10,11,12
10,11,12
10,11,12
10,11,12
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,13
11,11,14
11,12,14
12,12,14
12,12,14
12,12,14
12,12,14
12,13,14
12,13,14
12,13,14
12,13,14
12,13,14
12,13,15
12,13,15
12,13,15
13,13,15
13,13,15
13,13,15
13,13,16
14,13,16
14,13,16
14,13,16
14,13,16
14,13,16
14,13,16
15,13,16
15,13,16
15,13,16
15,13,17
15,14,17
15,14,17
15,14,17
15,14,17
15,14,17
15,14,17
15,14,17
15,14,17
15,14,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
15,15,17
16,16,17
16,16,17
16,16,17
16,16,17
16,16,17
16,16,17
17,16,17
17,16,17
17,16,17
17,16,17
17,16,17
17,16,17
17,16,17
17,16,18
